Date,Note,Amount,Cash Flow,Category,Month,Day,Year
2018-12-05,Domino's Pizza,437.0,Expense,Food & Beverage,12,5,2018
2018-12-05,Catering Service,70.0,Expense,Food & Beverage,12,5,2018
2018-12-05,4 kachori,48.0,Expense,Food & Beverage,12,5,2018
2018-12-05,milk 1lit ,72.0,Expense,Food & Beverage,12,5,2018
2018-11-05,1 packet,20.0,Expense,Food & Beverage,11,5,2018
2018-10-05,2 Faluda,80.0,Expense,Food & Beverage,10,5,2018
2018-09-05,Mata + TOI + ET,12.0,Expense,Subscriptions & Utilities,9,5,2018
2018-09-05,Toast packet,45.0,Expense,Food & Beverage,9,5,2018
2018-09-05,Half lit  milk,36.0,Expense,Food & Beverage,9,5,2018
2018-08-05,Kaju katli half kg,500.0,Expense,Food & Beverage,8,5,2018
2018-08-05,milk 1lit ,72.0,Expense,Food & Beverage,8,5,2018
2018-08-05,Shaving,50.0,Expense,Health & Grooming,8,5,2018
2018-07-05,Handwash container2 + window cleaner,1086.0,Expense,Household,7,5,2018
2018-07-05,Mall parking,20.0,Expense,Transport,7,5,2018
2018-07-05,Home Food Delivery,430.0,Expense,Food & Beverage,7,5,2018
2018-07-05,milk 1lit ,72.0,Expense,Food & Beverage,7,5,2018
2018-04-05,Supermart,37.0,Expense,Household,4,5,2018
2018-04-05,milk 1lit ,72.0,Expense,Food & Beverage,4,5,2018
2018-03-05,Bhaji + vadapav,40.0,Expense,Food & Beverage,3,5,2018
2018-02-05,Mango 1.5 kg,280.0,Expense,Food & Beverage,2,5,2018
2018-01-05,milk 1lit ,72.0,Expense,Food & Beverage,1,5,2018
2018-01-05,ITone eye drops,43.0,Expense,Health & Grooming,1,5,2018
2018-01-05,Refresh Tears Drop,122.0,Expense,Health & Grooming,1,5,2018
2018-04-30,6 kachori,72.0,Expense,Food & Beverage,4,30,2018
2018-04-30,Supermart,165.0,Expense,Household,4,30,2018
2018-04-30,Current Residence - Tata Play recharge,176.0,Expense,Subscriptions & Utilities,4,30,2018
2018-04-30,Toast packet,45.0,Expense,Food & Beverage,4,30,2018
2018-04-30,milk 1lit ,72.0,Expense,Food & Beverage,4,30,2018
2018-04-30,To Family,500.0,Expense,Family & Gifts,4,30,2018
2018-04-29,2 sugarcane juice,40.0,Expense,Food & Beverage,4,29,2018
2018-04-28,Home Food Delivery,413.0,Expense,Food & Beverage,4,28,2018
2018-04-27,Supermart,295.0,Expense,Household,4,27,2018
2018-04-26,Noodles packet,30.0,Expense,Food & Beverage,4,26,2018
2018-04-26,milk 1lit ,72.0,Expense,Food & Beverage,4,26,2018
2018-04-25,Catering Service,70.0,Expense,Food & Beverage,4,25,2018
2018-04-24,Permanent Residence - Tata Play recharge,157.0,Expense,Subscriptions & Utilities,4,24,2018
2018-04-23,Idli pith 1kg,38.0,Expense,Household,4,23,2018
2018-04-22,Supermart,190.0,Expense,Household,4,22,2018
2018-04-22,milk 1lit ,72.0,Expense,Food & Beverage,4,22,2018
2018-04-21,Naturals,160.0,Expense,Food & Beverage,4,21,2018
2018-04-21,Dahi 2 packets,20.0,Expense,Food & Beverage,4,21,2018
2018-04-20,Sugaran Kitchen,70.0,Expense,Food & Beverage,4,20,2018
2018-04-19,flour mill,14.0,Expense,Household,4,19,2018
2018-04-19,6 eggs,36.0,Expense,Food & Beverage,4,19,2018
2018-04-19,milk 1lit ,72.0,Expense,Food & Beverage,4,19,2018
2018-04-17,milk 1lit ,72.0,Expense,Food & Beverage,4,17,2018
2018-04-16,3 Pens,21.0,Expense,Education,4,16,2018
2018-04-16,clothes ironing,63.0,Expense,Shopping & Lifestyle,4,16,2018
2018-04-16,Cockroach injection,270.0,Expense,Household,4,16,2018
2018-04-16,Supermart,265.0,Expense,Household,4,16,2018
2018-04-16,Smart point,450.0,Expense,Household,4,16,2018
2018-04-15,pav Bhaji,70.0,Expense,Food & Beverage,4,15,2018
2018-04-15,2 cutting chai,20.0,Expense,Food & Beverage,4,15,2018
2018-04-15,"Vessels for sugar, coffee and tea",799.0,Expense,Household,4,15,2018
2018-04-15,Body mist,525.0,Expense,Family & Gifts,4,15,2018
2018-04-15,Station Parking,10.0,Expense,Transport,4,15,2018
2018-04-15,Place 0 to Place 4 return,20.0,Expense,Transport,4,15,2018
2018-04-15,Catering Service,70.0,Expense,Food & Beverage,4,15,2018
2018-04-14,Supermart,107.0,Expense,Household,4,14,2018
2018-04-14,Pizza base packet 2,40.0,Expense,Food & Beverage,4,14,2018
2018-04-14,Khari packet,45.0,Expense,Food & Beverage,4,14,2018
2018-04-14,milk 1lit ,72.0,Expense,Food & Beverage,4,14,2018
2018-04-13,Family Thyroid Test + CBC,700.0,Expense,Health & Grooming,4,13,2018
2018-12-04,Pattice,20.0,Expense,Food & Beverage,12,4,2018
2018-12-04,Catering Service,130.0,Expense,Food & Beverage,12,4,2018
2018-10-04,Bread,18.0,Expense,Food & Beverage,10,4,2018
2018-10-04,Catering Service,70.0,Expense,Food & Beverage,10,4,2018
2018-10-04,farewell contribution,250.0,Expense,Family & Gifts,10,4,2018
2018-09-04,Ginger,10.0,Expense,Food & Beverage,9,4,2018
2018-09-04,milk 1lit ,72.0,Expense,Food & Beverage,9,4,2018
2018-07-04,Supermart,1857.0,Expense,Household,7,4,2018
2018-07-04,Pav kg chana dal,24.0,Expense,Household,7,4,2018
2018-07-04,Half lit  milk,36.0,Expense,Food & Beverage,7,4,2018
2018-05-04,Idli pith 1kg,38.0,Expense,Household,5,4,2018
2018-05-04,6 eggs,36.0,Expense,Food & Beverage,5,4,2018
2018-05-04,milk 1lit ,72.0,Expense,Food & Beverage,5,4,2018
2018-05-04,Catering Service,130.0,Expense,Food & Beverage,5,4,2018
2018-02-04,Mall parking,20.0,Expense,Transport,2,4,2018
2018-02-04,Window cleaner,149.0,Expense,Household,2,4,2018
2018-02-04,Pav kg Lahsoon,24.0,Expense,Food & Beverage,2,4,2018
2018-02-04,Dahi 2 packets,20.0,Expense,Food & Beverage,2,4,2018
2018-02-04,onion 2 kg,36.0,Expense,Food & Beverage,2,4,2018
2018-01-04,ATM charge,5.9,Expense,Other,1,4,2018
2018-01-04,ATM charge,24.78,Expense,Other,1,4,2018
2018-01-04,milk 1lit ,72.0,Expense,Food & Beverage,1,4,2018
2018-03-31,2 chocobar,45.0,Expense,Food & Beverage,3,31,2018
2018-03-31,Home Food Delivery,244.0,Expense,Food & Beverage,3,31,2018
2018-03-31,Domino's Pizza,419.0,Expense,Food & Beverage,3,31,2018
2018-03-31,Station Parking,10.0,Expense,Transport,3,31,2018
2018-03-31,Place 0 to Sion returns,30.0,Expense,Transport,3,31,2018
2018-03-30,1 Panipuri,25.0,Expense,Food & Beverage,3,30,2018
2018-03-30,Ginger + green chilli,20.0,Expense,Food & Beverage,3,30,2018
2018-03-30,milk 1lit ,72.0,Expense,Food & Beverage,3,30,2018
2018-03-29,At restaurant,1234.0,Expense,Food & Beverage,3,29,2018
2018-03-27,Bread,35.0,Expense,Food & Beverage,3,27,2018
2018-03-26,milk 1lit ,72.0,Expense,Food & Beverage,3,26,2018
2018-03-26,Permanent Residence - Tata Play recharge,157.0,Expense,Subscriptions & Utilities,3,26,2018
2018-03-25,Station Parking,10.0,Expense,Transport,3,25,2018
2018-03-25,Popcorn family pack,25.0,Expense,Food & Beverage,3,25,2018
2018-03-25,2 tea,20.0,Expense,Food & Beverage,3,25,2018
2018-03-25,2 Frankie,160.0,Expense,Food & Beverage,3,25,2018
2018-03-25,French crossiant,80.0,Expense,Food & Beverage,3,25,2018
2018-03-25,IKEA tea 3,240.0,Expense,Food & Beverage,3,25,2018
2018-03-23,Finding next Job,100.0,Expense,Shopping & Lifestyle,3,23,2018
2018-03-22,1 kg Bajari,7.0,Expense,Food & Beverage,3,22,2018
2018-03-22,Half kg tomato,15.0,Expense,Food & Beverage,3,22,2018
2018-03-22,Supermart,153.0,Expense,Household,3,22,2018
2018-03-22,Pickle,150.0,Expense,Food & Beverage,3,22,2018
2018-03-22,Potato chips,150.0,Expense,Food & Beverage,3,22,2018
2018-03-22,1 packet,20.0,Expense,Food & Beverage,3,22,2018
2018-03-22,milk 1lit ,72.0,Expense,Food & Beverage,3,22,2018
2018-03-21,2 kachori,24.0,Expense,Food & Beverage,3,21,2018
2018-03-21,Idli pith 1kg,38.0,Expense,Household,3,21,2018
2018-03-20,2 Fried rice,246.0,Expense,Food & Beverage,3,20,2018
2018-03-20,Chicken lollypop 8 pcs,215.75,Expense,Food & Beverage,3,20,2018
2018-03-20,Bread,18.0,Expense,Food & Beverage,3,20,2018
2018-03-20,6 eggs,36.0,Expense,Food & Beverage,3,20,2018
2018-03-20,Half lit  milk,36.0,Expense,Food & Beverage,3,20,2018
2018-03-18,Station Parking,10.0,Expense,Transport,3,18,2018
2018-03-18,Dabeli,15.0,Expense,Food & Beverage,3,18,2018
2018-03-18,Trouser,799.0,Expense,Family & Gifts,3,18,2018
2018-03-18,Belt + bow,498.0,Expense,Family & Gifts,3,18,2018
2018-03-18,Papad packet,50.0,Expense,Food & Beverage,3,18,2018
2018-03-18,1 Panipuri,30.0,Expense,Food & Beverage,3,18,2018
2018-03-18,cutting chai,10.0,Expense,Food & Beverage,3,18,2018
2018-03-18,Place 0 to Place 4 return,20.0,Expense,Transport,3,18,2018
2018-03-17,Catering Service,30.0,Expense,Food & Beverage,3,17,2018
2018-03-17,Half lit  milk,37.0,Expense,Food & Beverage,3,17,2018
2018-03-15,Catering Service,60.0,Expense,Food & Beverage,3,15,2018
2018-03-15,Half lit  milk,36.0,Expense,Food & Beverage,3,15,2018
2018-03-14,Mayonnaise + cheese cubes,140.0,Expense,Household,3,14,2018
2018-03-14,onion 2 kg,40.0,Expense,Food & Beverage,3,14,2018
2018-03-14,Domino's Pizza,578.0,Expense,Food & Beverage,3,14,2018
2018-03-13,Half lit  milk,36.0,Expense,Food & Beverage,3,13,2018
2018-12-03,2 Place 3 to Place 2 : Sevagram express 3AC,1293.0,Expense,Transport,12,3,2018
2018-10-03,Mosquito Racket,300.0,Expense,Household,10,3,2018
2018-10-03,All out refill,77.0,Expense,Health & Grooming,10,3,2018
2018-10-03,1 lit ,72.0,Expense,Food & Beverage,10,3,2018
2018-10-03,Half lit  milk,36.0,Expense,Food & Beverage,10,3,2018
2018-08-03,clothes ironing,91.0,Expense,Shopping & Lifestyle,8,3,2018
2018-08-03,Flatbread 12 pcs,40.0,Expense,Food & Beverage,8,3,2018
2018-08-03,6 eggs,36.0,Expense,Food & Beverage,8,3,2018
2018-08-03,Half lit  milk,36.0,Expense,Food & Beverage,8,3,2018
2018-07-03,Holi Tip to cleaner,20.0,Expense,Family & Gifts,7,3,2018
2018-07-03,2 Vadapav,30.0,Expense,Food & Beverage,7,3,2018
2018-06-03,Thyroid Tablets,172.0,Expense,Health & Grooming,6,3,2018
2018-06-03,5 Meftal spas,22.0,Expense,Health & Grooming,6,3,2018
2018-06-03,Xerox,4.0,Expense,Education,6,3,2018
2018-06-03,Half lit  milk,36.0,Expense,Food & Beverage,6,3,2018
2018-06-03,Aadhar PUC card delivery,50.0,Expense,Subscriptions & Utilities,6,3,2018
